bootstrap_sample,structural_group_count,median_paired_difference_sensitivity_minus_magnitude,mean_paired_difference_sensitivity_minus_magnitude,resampling_unit,bootstrap_mode,bootstrap_seed
264,12,-0.025613472724431083,-0.13163609589630543,structural_group,case_stratified,8675310
265,12,-0.008461049547044103,-0.07296927737985437,structural_group,case_stratified,8675310
266,12,-0.005658969592345277,-0.07126100588437422,structural_group,case_stratified,8675310
267,12,-0.0034439534025555232,-0.06924251570530354,structural_group,case_stratified,8675310
268,12,-0.006246033357254349,-0.07270946277359833,structural_group,case_stratified,8675310
269,12,-0.010676065736833856,-0.07050135721500465,structural_group,case_stratified,8675310
270,12,-0.0031230166786271746,-0.06799658189446717,structural_group,case_stratified,8675310
271,12,-0.0006418734478566973,-0.00951750326891216,structural_group,case_stratified,8675310
272,12,-0.010676065736833856,-0.120071910042589,structural_group,case_stratified,8675310
273,12,-0.021288940384876134,-0.07747733539019123,structural_group,case_stratified,8675310
274,12,0.0,-0.01842602906688282,structural_group,case_stratified,8675310
275,12,0.0,-0.008458914369365675,structural_group,case_stratified,8675310
276,12,-0.010676065736833856,-0.0720948127243895,structural_group,case_stratified,8675310
277,12,-0.00032093672392834866,-0.015388686926913525,structural_group,case_stratified,8675310
278,12,-0.006246033357254349,-0.06839989283741023,structural_group,case_stratified,8675310
279,12,-0.0006418734478566973,-0.006409088334950716,structural_group,case_stratified,8675310
280,12,-0.0034439534025555232,-0.010302496296078755,structural_group,case_stratified,8675310
281,12,-0.005658969592345277,-0.12469901100056259,structural_group,case_stratified,8675310
282,12,-0.010676065736833856,-0.12558868314529872,structural_group,case_stratified,8675310
283,12,-0.0034439534025555232,-0.06768090198349026,structural_group,case_stratified,8675310
284,12,0.0,-0.00022003035806558482,structural_group,case_stratified,8675310
285,12,-0.006246033357254349,-0.0679407165897463,structural_group,case_stratified,8675310
286,12,-0.008461049547044103,-0.07302276683384241,structural_group,case_stratified,8675310
287,12,-0.010676065736833856,-0.07416855689345407,structural_group,case_stratified,8675310
288,12,-0.021288940384876134,-0.12906576708211928,structural_group,case_stratified,8675310
289,12,-0.010676065736833856,-0.07204132327040143,structural_group,case_stratified,8675310
290,12,-0.00032093672392834866,-0.06137280105896842,structural_group,case_stratified,8675310
291,12,-0.0006418734478566973,-0.05928830870665114,structural_group,case_stratified,8675310
292,12,-0.021288940384876134,-0.1781693065839205,structural_group,case_stratified,8675310
293,12,-0.006246033357254349,-0.06787471441649968,structural_group,case_stratified,8675310
294,12,-0.0034439534025555232,-0.015332821622192667,structural_group,case_stratified,8675310
295,12,-0.00032093672392834866,-0.06230075516842134,structural_group,case_stratified,8675310
296,12,-0.006246033357254349,-0.015157464690237127,structural_group,case_stratified,8675310
297,12,-0.00032093672392834866,-0.011232826256264481,structural_group,case_stratified,8675310
298,12,-0.021288940384876134,-0.12293064723882018,structural_group,case_stratified,8675310
299,12,-0.025613472724431083,-0.230732847044644,structural_group,case_stratified,8675310
300,12,0.0,-0.008925927695148812,structural_group,case_stratified,8675310
301,12,-0.0034439534025555232,-0.06296625656835325,structural_group,case_stratified,8675310
302,12,-0.005338032868416928,-0.01859494582169315,structural_group,case_stratified,8675310
303,12,-0.025613472724431083,-0.17972624466459441,structural_group,case_stratified,8675310
304,12,-0.00032093672392834866,-0.06206583624036439,structural_group,case_stratified,8675310
305,12,-0.03190181503291841,-0.18262387514026926,structural_group,case_stratified,8675310
306,12,-0.005338032868416928,-0.07322539529472986,structural_group,case_stratified,8675310
307,12,0.0,-0.011669848905284658,structural_group,case_stratified,8675310
