instance_id,ieee_case,support_id,selector,k_budget,slot_budget,actual_nonzeros,slot_count,median_normalized_error,median_absolute_error,random_replicate,accuracy_objective,signal_unitary_gate_count,signal_unitary_depth,controlled_rotations,resource_record_type,resource_status,missing_resource_cost_is_zero,nondominated
ieee14_eval_seed_14101_block_8x8,ieee14,ieee14_eval_seed_14101_block_8x8__balanced_magnitude_k12_s8_ba6c6a34d2ef,balanced_magnitude,12,8,12,3,0.3765804187377232,0.0004631633370324,,median_heldout_normalized_error_absolute_not_signed,3235.0,2112.0,24.0,executed_sparse_signal_unitary,completed,False,False
ieee14_eval_seed_14101_block_8x8,ieee14,ieee14_eval_seed_14101_block_8x8__leverage_weighted_k12_s3_ba6c6a34d2ef,leverage_weighted,12,3,12,3,0.3765804187377232,0.0004631633370324,,median_heldout_normalized_error_absolute_not_signed,3235.0,2112.0,24.0,executed_sparse_signal_unitary,completed,False,False
ieee14_eval_seed_14101_block_8x8,ieee14,ieee14_eval_seed_14101_block_8x8__leverage_weighted_k12_s4_ba6c6a34d2ef,leverage_weighted,12,4,12,3,0.3765804187377232,0.0004631633370324,,median_heldout_normalized_error_absolute_not_signed,3235.0,2112.0,24.0,executed_sparse_signal_unitary,completed,False,False
ieee14_eval_seed_14101_block_8x8,ieee14,ieee14_eval_seed_14101_block_8x8__leverage_weighted_k12_s6_ba6c6a34d2ef,leverage_weighted,12,6,12,3,0.3765804187377232,0.0004631633370324,,median_heldout_normalized_error_absolute_not_signed,3235.0,2112.0,24.0,executed_sparse_signal_unitary,completed,False,False
ieee14_eval_seed_14101_block_8x8,ieee14,ieee14_eval_seed_14101_block_8x8__leverage_weighted_k12_s8_ba6c6a34d2ef,leverage_weighted,12,8,12,3,0.3765804187377232,0.0004631633370324,,median_heldout_normalized_error_absolute_not_signed,3235.0,2112.0,24.0,executed_sparse_signal_unitary,completed,False,False
ieee14_eval_seed_14101_block_8x8,ieee14,ieee14_eval_seed_14101_block_8x8__sensitivity_refined_worst_case_k12_s3_1e9bf6cb5409,sensitivity_refined_worst_case,12,3,12,3,0.1421762966607379,0.0002738914065355,,median_heldout_normalized_error_absolute_not_signed,3298.0,2161.0,24.0,executed_sparse_signal_unitary,completed,False,False
ieee14_eval_seed_14101_block_8x8,ieee14,ieee14_eval_seed_14101_block_8x8__sensitivity_refined_worst_case_k12_s4_1e9bf6cb5409,sensitivity_refined_worst_case,12,4,12,3,0.1421762966607379,0.0002738914065355,,median_heldout_normalized_error_absolute_not_signed,3298.0,2161.0,24.0,executed_sparse_signal_unitary,completed,False,False
ieee14_eval_seed_14101_block_8x8,ieee14,ieee14_eval_seed_14101_block_8x8__sensitivity_refined_worst_case_k12_s6_1e9bf6cb5409,sensitivity_refined_worst_case,12,6,12,3,0.1421762966607379,0.0002738914065355,,median_heldout_normalized_error_absolute_not_signed,3298.0,2161.0,24.0,executed_sparse_signal_unitary,completed,False,False
ieee14_eval_seed_14101_block_8x8,ieee14,ieee14_eval_seed_14101_block_8x8__sensitivity_refined_worst_case_k12_s8_1e9bf6cb5409,sensitivity_refined_worst_case,12,8,12,3,0.1421762966607379,0.0002738914065355,,median_heldout_normalized_error_absolute_not_signed,3298.0,2161.0,24.0,executed_sparse_signal_unitary,completed,False,False
ieee14_eval_seed_14101_block_8x8,ieee14,ieee14_eval_seed_14101_block_8x8__sensitivity_refined_mean_k16_s3_b38075e581e1,sensitivity_refined_mean,16,3,16,3,0.1894291261060073,0.0002657825444156,,median_heldout_normalized_error_absolute_not_signed,3302.0,2164.0,24.0,executed_sparse_signal_unitary,completed,False,False
