bootstrap_sample,instance_count,median_paired_difference_sensitivity_minus_magnitude,resampling_unit,bootstrap_seed
2035,15,-0.1515999042352149,instance,8675309
2036,15,-0.2859756630598773,instance,8675309
2037,15,-0.2659696180787886,instance,8675309
2038,15,-0.2859756630598773,instance,8675309
2039,15,-0.2659696180787886,instance,8675309
2040,15,-0.22946696899122998,instance,8675309
2041,15,-0.2673352773955874,instance,8675309
2042,15,-0.17884318399519528,instance,8675309
2043,15,-0.17884318399519528,instance,8675309
2044,15,-0.22946696899122998,instance,8675309
2045,15,-0.17884318399519528,instance,8675309
2046,15,-0.22946696899122998,instance,8675309
2047,15,-0.3156277947922177,instance,8675309
2048,15,-0.2859756630598773,instance,8675309
2049,15,-0.17884318399519528,instance,8675309
2050,15,-0.3156277947922177,instance,8675309
2051,15,-0.2673352773955874,instance,8675309
2052,15,-0.17884318399519528,instance,8675309
2053,15,-0.2659696180787886,instance,8675309
2054,15,-0.2859756630598773,instance,8675309
2055,15,-0.06167886880346568,instance,8675309
2056,15,-0.2659696180787886,instance,8675309
2057,15,-0.2659696180787886,instance,8675309
2058,15,-0.2673352773955874,instance,8675309
2059,15,-0.2859756630598773,instance,8675309
2060,15,-0.2673352773955874,instance,8675309
2061,15,-0.2673352773955874,instance,8675309
2062,15,-0.22946696899122998,instance,8675309
2063,15,-0.2659696180787886,instance,8675309
2064,15,-0.1515999042352149,instance,8675309
2065,15,-0.17884318399519528,instance,8675309
2066,15,-0.2859756630598773,instance,8675309
2067,15,-0.1515999042352149,instance,8675309
2068,15,-0.1515999042352149,instance,8675309
2069,15,-0.17884318399519528,instance,8675309
2070,15,-0.17884318399519528,instance,8675309
2071,15,-0.2673352773955874,instance,8675309
2072,15,-0.22946696899122998,instance,8675309
2073,15,-0.2673352773955874,instance,8675309
2074,15,-0.2859756630598773,instance,8675309
2075,15,-0.1515999042352149,instance,8675309
2076,15,-0.1515999042352149,instance,8675309
2077,15,-0.2859756630598773,instance,8675309
2078,15,-0.17884318399519528,instance,8675309
2079,15,-0.2673352773955874,instance,8675309
2080,15,-0.2659696180787886,instance,8675309
2081,15,-0.17884318399519528,instance,8675309
2082,15,-0.2659696180787886,instance,8675309
2083,15,-0.17884318399519528,instance,8675309
2084,15,-0.2659696180787886,instance,8675309
2085,15,-0.22946696899122998,instance,8675309
2086,15,-0.3156277947922177,instance,8675309
2087,15,-0.2859756630598773,instance,8675309
2088,15,-0.2659696180787886,instance,8675309
2089,15,-0.17884318399519528,instance,8675309
2090,15,-0.22946696899122998,instance,8675309
2091,15,-0.22946696899122998,instance,8675309
2092,15,-0.22946696899122998,instance,8675309
2093,15,-0.2659696180787886,instance,8675309
2094,15,-0.17884318399519528,instance,8675309
2095,15,-0.2673352773955874,instance,8675309
2096,15,-0.2859756630598773,instance,8675309
2097,15,-0.2673352773955874,instance,8675309
2098,15,-0.2659696180787886,instance,8675309
2099,15,-0.2673352773955874,instance,8675309
2100,15,-0.2659696180787886,instance,8675309
2101,15,-0.2659696180787886,instance,8675309
2102,15,-0.2659696180787886,instance,8675309
2103,15,-0.2673352773955874,instance,8675309
2104,15,-0.1515999042352149,instance,8675309
2105,15,-0.2673352773955874,instance,8675309
2106,15,-0.2859756630598773,instance,8675309
2107,15,-0.2659696180787886,instance,8675309
2108,15,-0.2659696180787886,instance,8675309
2109,15,-0.2673352773955874,instance,8675309
2110,15,-0.22946696899122998,instance,8675309
2111,15,-0.22946696899122998,instance,8675309
2112,15,-0.17884318399519528,instance,8675309
2113,15,-0.2977248373379707,instance,8675309
2114,15,-0.2673352773955874,instance,8675309
2115,15,-0.2859756630598773,instance,8675309
2116,15,-0.2673352773955874,instance,8675309
2117,15,-0.2659696180787886,instance,8675309
2118,15,-0.2977248373379707,instance,8675309
2119,15,-0.22946696899122998,instance,8675309
2120,15,-0.127918925273331,instance,8675309
2121,15,-0.2859756630598773,instance,8675309
2122,15,-0.22946696899122998,instance,8675309
2123,15,-0.22946696899122998,instance,8675309
2124,15,-0.2659696180787886,instance,8675309
2125,15,-0.22946696899122998,instance,8675309
2126,15,-0.2977248373379707,instance,8675309
2127,15,-0.2659696180787886,instance,8675309
2128,15,-0.3156277947922177,instance,8675309
2129,15,-0.2673352773955874,instance,8675309
2130,15,-0.2673352773955874,instance,8675309
2131,15,-0.1515999042352149,instance,8675309
2132,15,-0.17884318399519528,instance,8675309
2133,15,-0.3156277947922177,instance,8675309
2134,15,-0.2673352773955874,instance,8675309
2135,15,-0.2859756630598773,instance,8675309
2136,15,-0.2659696180787886,instance,8675309
2137,15,-0.22946696899122998,instance,8675309
2138,15,-0.2977248373379707,instance,8675309
2139,15,-0.22946696899122998,instance,8675309
2140,15,-0.2659696180787886,instance,8675309
2141,15,-0.2673352773955874,instance,8675309
2142,15,-0.17884318399519528,instance,8675309
2143,15,-0.2859756630598773,instance,8675309
2144,15,-0.2659696180787886,instance,8675309
2145,15,-0.127918925273331,instance,8675309
2146,15,-0.22946696899122998,instance,8675309
2147,15,-0.17884318399519528,instance,8675309
2148,15,-0.17884318399519528,instance,8675309
2149,15,-0.2859756630598773,instance,8675309
2150,15,-0.2673352773955874,instance,8675309
2151,15,-0.17884318399519528,instance,8675309
2152,15,-0.1515999042352149,instance,8675309
2153,15,-0.1515999042352149,instance,8675309
2154,15,-0.2659696180787886,instance,8675309
2155,15,-0.2673352773955874,instance,8675309
2156,15,-0.2659696180787886,instance,8675309
2157,15,-0.2659696180787886,instance,8675309
2158,15,-0.1515999042352149,instance,8675309
2159,15,-0.2659696180787886,instance,8675309
2160,15,-0.2673352773955874,instance,8675309
2161,15,-0.17884318399519528,instance,8675309
2162,15,-0.22946696899122998,instance,8675309
2163,15,-0.2659696180787886,instance,8675309
2164,15,-0.22946696899122998,instance,8675309
2165,15,-0.2859756630598773,instance,8675309
2166,15,-0.2673352773955874,instance,8675309
2167,15,-0.2977248373379707,instance,8675309
2168,15,-0.22946696899122998,instance,8675309
2169,15,-0.22946696899122998,instance,8675309
2170,15,-0.2859756630598773,instance,8675309
2171,15,-0.22946696899122998,instance,8675309
2172,15,-0.2659696180787886,instance,8675309
2173,15,-0.2673352773955874,instance,8675309
2174,15,-0.2859756630598773,instance,8675309
2175,15,-0.2977248373379707,instance,8675309
2176,15,-0.22946696899122998,instance,8675309
2177,15,-0.2673352773955874,instance,8675309
2178,15,-0.2659696180787886,instance,8675309
2179,15,-0.2673352773955874,instance,8675309
2180,15,-0.3156277947922177,instance,8675309
2181,15,-0.2977248373379707,instance,8675309
2182,15,-0.2859756630598773,instance,8675309
2183,15,-0.22946696899122998,instance,8675309
2184,15,-0.2859756630598773,instance,8675309
2185,15,-0.2859756630598773,instance,8675309
2186,15,-0.2659696180787886,instance,8675309
2187,15,-0.2859756630598773,instance,8675309
2188,15,-0.2859756630598773,instance,8675309
2189,15,-0.2859756630598773,instance,8675309
2190,15,-0.2659696180787886,instance,8675309
2191,15,-0.2977248373379707,instance,8675309
2192,15,-0.22946696899122998,instance,8675309
