estimator,rmse,angle_rmse,voltage_magnitude_rmse,residual_norm,weighted_residual,condition_number,rank,effective_rank,runtime_seconds,iterations,converged,failed,failure_reason,case_name,dataset_source,dataset_source_detail,external_case,mode,n_measurements,n_states,scenario_name,noise_std,missing_ratio,bad_data_ratio,bad_data_count,bad_data_magnitude,bad_data_target,target_condition_number,achieved_condition_number,trial_id,sweep_name,sweep_parameter,sweep_value,seed
huber_irls,0.03189609533743683,0.04006794505281477,0.021709151082470155,3.144781093804711,3.144781093804711,109.47213303021687,27,27,0.08416016700357432,8,False,False,max_iterations reached,ieee14,pypower,pypower.case14.case14,True,nonlinear_ac_state_estimation,74,27,nonlinear_ac_ieee14,0.0,0.1,0.05,1,5.0,weak_area,,109.47213303021687,nonlinear_noise_sweep_0p0_seed1001,nonlinear_noise_sweep,scenario.noise_std,0.0,1001
pseudoinverse,0.0014533168158388622,0.00040347601529829697,0.00198046163594731,5.030533092219784,5.030533092219784,54.312832004603315,27,27,0.040746749997197185,4,True,False,,ieee14,pypower,pypower.case14.case14,True,nonlinear_ac_state_estimation,74,27,nonlinear_ac_ieee14,0.002,0.1,0.05,1,5.0,weak_area,,54.312832004603315,nonlinear_noise_sweep_0p002_seed101,nonlinear_noise_sweep,scenario.noise_std,0.002,101
ridge,0.0014533168158389104,0.0004034760152982685,0.001980461635947384,5.030533092219794,5.030533092219794,54.31283200460286,27,27,0.042075874996953644,4,True,False,,ieee14,pypower,pypower.case14.case14,True,nonlinear_ac_state_estimation,74,27,nonlinear_ac_ieee14,0.002,0.1,0.05,1,5.0,weak_area,,54.31283200460286,nonlinear_noise_sweep_0p002_seed101,nonlinear_noise_sweep,scenario.noise_std,0.002,101
truncated_svd,0.0014533168158388614,0.000403476015298291,0.00198046163594731,5.030533092219784,5.030533092219784,54.31283200460332,27,27,0.04275062499800697,4,True,False,,ieee14,pypower,pypower.case14.case14,True,nonlinear_ac_state_estimation,74,27,nonlinear_ac_ieee14,0.002,0.1,0.05,1,5.0,weak_area,,54.31283200460332,nonlinear_noise_sweep_0p002_seed101,nonlinear_noise_sweep,scenario.noise_std,0.002,101
qsvt_regularized,0.0014533168158389104,0.0004034760152982685,0.001980461635947384,5.030533092219794,5.030533092219794,54.31283200460286,27,27,0.04187229200033471,4,True,False,,ieee14,pypower,pypower.case14.case14,True,nonlinear_ac_state_estimation,74,27,nonlinear_ac_ieee14,0.002,0.1,0.05,1,5.0,weak_area,,54.31283200460286,nonlinear_noise_sweep_0p002_seed101,nonlinear_noise_sweep,scenario.noise_std,0.002,101
huber_irls,0.0006014834026513747,0.00040477795006464343,0.0007386345609006281,5.0435056327221135,5.0435056327221135,54.45568206512661,27,27,0.039613166998606175,4,True,False,,ieee14,pypower,pypower.case14.case14,True,nonlinear_ac_state_estimation,74,27,nonlinear_ac_ieee14,0.002,0.1,0.05,1,5.0,weak_area,,54.45568206512661,nonlinear_noise_sweep_0p002_seed101,nonlinear_noise_sweep,scenario.noise_std,0.002,101
pseudoinverse,0.0028126301248335276,0.002495557336624756,0.003077945725541485,4.92200646072486,4.92200646072486,73.03357553403424,27,27,0.049855416000355035,5,True,False,,ieee14,pypower,pypower.case14.case14,True,nonlinear_ac_state_estimation,74,27,nonlinear_ac_ieee14,0.002,0.1,0.05,1,5.0,weak_area,,73.03357553403424,nonlinear_noise_sweep_0p002_seed202,nonlinear_noise_sweep,scenario.noise_std,0.002,202
ridge,0.0028126301248331664,0.002495557336624733,0.0030779457255408656,4.922006460724883,4.922006460724883,73.03357553403457,27,27,0.049919207995117176,5,True,False,,ieee14,pypower,pypower.case14.case14,True,nonlinear_ac_state_estimation,74,27,nonlinear_ac_ieee14,0.002,0.1,0.05,1,5.0,weak_area,,73.03357553403457,nonlinear_noise_sweep_0p002_seed202,nonlinear_noise_sweep,scenario.noise_std,0.002,202
truncated_svd,0.0028126301248334335,0.0024955573366246824,0.0030779457255413743,4.922006460724873,4.922006460724873,73.03357553403424,27,27,0.049731457998859696,5,True,False,,ieee14,pypower,pypower.case14.case14,True,nonlinear_ac_state_estimation,74,27,nonlinear_ac_ieee14,0.002,0.1,0.05,1,5.0,weak_area,,73.03357553403424,nonlinear_noise_sweep_0p002_seed202,nonlinear_noise_sweep,scenario.noise_std,0.002,202
qsvt_regularized,0.0028126301248331664,0.002495557336624733,0.0030779457255408656,4.922006460724883,4.922006460724883,73.03357553403457,27,27,0.04960416700487258,5,True,False,,ieee14,pypower,pypower.case14.case14,True,nonlinear_ac_state_estimation,74,27,nonlinear_ac_ieee14,0.002,0.1,0.05,1,5.0,weak_area,,73.03357553403457,nonlinear_noise_sweep_0p002_seed202,nonlinear_noise_sweep,scenario.noise_std,0.002,202
