seed,dim,rows,cols,rank,spectral_family,condition_number,sv_assignment_matches_svd,is_complex,target,degree,component,tolerance,convention_error_vs_encoded,end_to_end_error_vs_target,status
770301,5x3,5,3,3,moderate_condition,3.3333333333333335,False,False,ridge_filter_d255,255,imag,1e-06,6.450124186129408e-14,4.50474810138695e-08,pass
770302,5x3,5,3,3,nearly_rank_deficient,3333.3333333333085,False,False,monomial_x1,1,neg_imag,1e-08,1.3962890673297828e-16,9.839183627782516e-14,pass
770302,5x3,5,3,3,nearly_rank_deficient,3333.3333333333085,False,False,monomial_x3,3,imag,1e-08,3.2117568130206493e-16,1.1316089837874498e-13,pass
770302,5x3,5,3,3,nearly_rank_deficient,3333.3333333333085,False,False,ridge_filter_d7,7,imag,1e-08,5.733033928008002e-15,3.6738836974540686e-07,pass
770302,5x3,5,3,3,nearly_rank_deficient,3333.3333333333085,False,False,ridge_filter_d31,31,imag,1e-08,7.579509290147336e-15,1.2255652057627326e-08,pass
770302,5x3,5,3,3,nearly_rank_deficient,3333.3333333333085,False,False,ridge_filter_d255,255,imag,1e-06,5.44327927626156e-14,1.0982469755539627e-08,pass
770303,5x3,5,3,3,exact_zero_singular_values,inf,True,False,monomial_x1,1,neg_imag,1e-08,2.2738253516706254e-16,7.330812933785088e-14,pass
770303,5x3,5,3,3,exact_zero_singular_values,inf,True,False,monomial_x3,3,imag,1e-08,3.150494803319111e-16,8.296302982072491e-14,pass
770303,5x3,5,3,3,exact_zero_singular_values,inf,True,False,ridge_filter_d7,7,imag,1e-08,4.304431517345522e-15,5.646985289174693e-08,pass
770303,5x3,5,3,3,exact_zero_singular_values,inf,True,False,ridge_filter_d31,31,imag,1e-08,4.259095300397894e-15,5.114112021251244e-09,pass
770303,5x3,5,3,3,exact_zero_singular_values,inf,True,False,ridge_filter_d255,255,imag,1e-06,7.283950970443843e-15,2.368005345782674e-09,pass
770304,5x3,5,3,3,repeated_singular_values,1.0000000000000007,True,False,monomial_x1,1,neg_imag,1e-08,2.289241293314081e-16,6.21757935264019e-14,pass
770304,5x3,5,3,3,repeated_singular_values,1.0000000000000007,True,False,monomial_x3,3,imag,1e-08,5.139113107439929e-16,7.596543556996297e-14,pass
770304,5x3,5,3,3,repeated_singular_values,1.0000000000000007,True,False,ridge_filter_d7,7,imag,1e-08,8.520461137615675e-16,1.7441931880246113e-07,pass
